1960,8.675
1961,8.42
1962,8.231
1963,8.115
1964,8.072
1965,8.097
1966,8.182
1967,8.31
1968,8.467
1969,8.643
1970,8.832
1971,9.034
1972,9.251
1973,9.484
1974,9.729
1975,9.988
1976,10.266
1977,10.561
1978,10.864
1979,11.164
1980,11.432
1981,11.3
1982,11.3
1983,11.5
1984,12
1985,11.77
1986,11.1
1987,11.4
1988,11.6
1989,11.6
1990,12.1
1991,12.9
1992,13.4
1993,14.2
1994,14.7
1995,15.4
1996,15.2
1997,14.9
1998,14.4
1999,14.9
2000,15.4
2001,15.3
2002,15.7
2003,16
2004,16
2005,16.6
2006,16.2
2007,16.4
2008,16.3
2009,15.3
2010,15.2
2011,14.5
2012,14.5
2013,14.6
2014,14.7
2015,14.9
2016,14.7
2017,14.5
